sub	run	trial	soa	audio	drive_Type	audio_Type	TTFF_FLWM	TTFF_HLWM	FLWM	HLWM
6	8	19	200	2	2	1	NA	0.449251	0	1
6	8	20	400	3	2	1	0.7986809	NA	1	0
6	8	21	200	2	2	1	NA	0.7155012	0	1
6	8	22	0	1	2	1	0.8651644	NA	1	0
6	8	23	400	2	2	1	NA	0.5324595	0	1
6	8	24	400	3	2	1	NA	0.7487953	0	1
7	2	1	0	2	2	1	NA	NA	0	0
7	2	2	600	1	2	1	NA	1.0651094	0	1
7	2	3	400	1	2	1	NA	NA	0	0
7	2	4	200	1	2	1	2.1299528	0.9650679	1	1
7	2	5	200	2	2	1	1.2978432	0.599009	1	1
7	2	6	400	3	2	1	NA	0.8154427	0	1
7	2	7	600	2	2	1	2.4293228	0.8485818	1	1
7	2	8	400	2	2	1	0.582383	1.3977805	1	1
7	2	9	0	1	2	1	NA	0.7321009	0	1
7	2	10	600	2	2	1	1.1647519	2.5957154	1	1
7	2	11	400	1	2	1	NA	0.7154828	0	1
7	2	12	0	3	2	1	NA	2.8120311	0	1
7	2	13	600	1	2	1	1.3975399	2.5456443	1	1
7	2	14	200	3	2	1	NA	NA	0	0
7	2	15	400	3	2	1	1.0980741	NA	1	0
7	2	16	600	3	2	1	1.1647511	NA	1	0
7	2	17	0	2	2	1	NA	0.9318303	0	1
7	2	18	200	2	2	1	NA	0.6821197	0	1
7	2	19	0	1	2	1	NA	0.7154705	0	1
7	2	20	600	3	2	1	NA	0.7986529	0	1
7	2	21	0	3	2	1	1.846944	0.865218	1	1
7	2	22	200	3	2	1	0.8153493	NA	1	0
7	2	23	400	2	2	1	1.5641143	0.4825309	1	1
7	2	24	200	1	2	1	NA	0.7654478	0	1
7	6	1	400	1	1	1	NA	0.5990322	0	1
7	6	2	600	2	1	1	1.1315321	NA	1	0
7	6	3	200	3	1	1	NA	0.6655873	0	1
7	6	4	600	1	1	1	NA	NA	0	0
7	6	5	200	1	1	1	NA	NA	0	0
7	6	6	200	2	1	1	0.9650817	NA	1	0
7	6	7	200	3	1	1	NA	0	0	1
7	6	8	400	2	1	1	NA	NA	0	0
7	6	9	0	1	1	1	NA	NA	0	0
7	6	10	600	2	1	1	0.2163083	NA	1	0
7	6	11	600	1	1	1	1.0316362	2.9451457	1	1
7	6	12	600	3	1	1	NA	0.8153445	0	1
7	6	13	0	3	1	1	NA	NA	0	0
7	6	14	400	1	1	1	NA	NA	0	0
7	6	15	400	2	1	1	0.5324917	NA	1	0
7	6	16	200	1	1	1	0.8486142	NA	1	0
7	6	17	200	2	1	1	NA	NA	0	0
7	6	18	400	3	1	1	NA	0.2329419	0	1
7	6	19	0	2	1	1	0.8486091	NA	1	0
7	6	20	0	1	1	1	0.1164263	NA	1	0
7	6	21	0	3	1	1	NA	1.3976902	0	1
7	6	22	400	3	1	1	0.9650658	NA	1	0
7	6	23	0	2	1	1	NA	0	0	1
7	6	24	600	3	1	1	NA	NA	0	0
8	4	1	200	1	2	1	NA	NA	0	0
8	4	2	200	3	2	1	NA	NA	0	0
8	4	3	200	3	2	1	NA	NA	0	0
8	4	4	600	3	2	1	NA	NA	0	0
8	4	5	0	2	2	1	NA	NA	0	0
8	4	6	200	1	2	1	NA	NA	0	0
8	4	7	600	1	2	1	NA	NA	0	0
8	4	8	0	2	2	1	NA	NA	0	0
8	4	9	0	3	2	1	NA	NA	0	0
8	4	10	400	1	2	1	NA	NA	0	0
8	4	11	400	3	2	1	0.9484485	NA	1	0
8	4	12	600	1	2	1	NA	NA	0	0
8	4	13	400	2	2	1	NA	NA	0	0
8	4	14	200	2	2	1	NA	NA	0	0
8	4	15	400	2	2	1	NA	NA	0	0
8	4	16	0	1	2	1	NA	NA	0	0
8	4	17	0	3	2	1	NA	NA	0	0
8	4	18	600	3	2	1	NA	NA	0	0
8	4	19	600	2	2	1	NA	NA	0	0
8	4	20	600	2	2	1	NA	NA	0	0
8	4	21	200	2	2	1	NA	NA	0	0
8	4	22	400	1	2	1	NA	NA	0	0
8	4	23	0	1	2	1	NA	NA	0	0
8	8	1	400	3	1	1	NA	NA	0	0
8	8	2	200	1	1	1	NA	NA	0	0
8	8	3	600	3	1	1	NA	NA	0	0
8	8	4	0	2	1	1	NA	NA	0	0
8	8	5	200	2	1	1	NA	NA	0	0
8	8	6	600	1	1	1	NA	NA	0	0
8	8	7	400	3	1	1	NA	NA	0	0
8	8	8	400	1	1	1	NA	NA	0	0
8	8	9	200	3	1	1	NA	NA	0	0
8	8	10	600	1	1	1	NA	NA	0	0
8	8	11	400	1	1	1	NA	NA	0	0
8	8	12	200	2	1	1	NA	NA	0	0
8	8	13	0	3	1	1	NA	NA	0	0
8	8	14	200	3	1	1	NA	NA	0	0
8	8	15	0	1	1	1	NA	NA	0	0
8	8	16	400	2	1	1	NA	NA	0	0
8	8	17	600	3	1	1	NA	NA	0	0
8	8	18	600	2	1	1	NA	NA	0	0
8	8	19	400	2	1	1	NA	NA	0	0
8	8	20	0	2	1	1	NA	NA	0	0
8	8	21	0	3	1	1	NA	NA	0	0
8	8	22	600	2	1	1	NA	NA	0	0
8	8	23	200	1	1	1	NA	NA	0	0
8	8	24	0	1	1	1	NA	NA	0	0
9	2	1	0	2	1	1	0.6822435	NA	1	0
9	2	2	0	1	1	1	0.7155029	NA	1	0
9	2	3	200	3	1	1	NA	0.4991953	0	1
9	2	4	0	1	1	1	0.7654237	NA	1	0
9	2	5	400	1	1	1	0.5990692	NA	1	0
9	2	6	200	2	1	1	0.4825738	NA	1	0
9	2	7	400	3	1	1	NA	0.4492589	0	1
9	2	8	0	3	1	1	NA	0.8319898	0	1
9	2	9	600	3	1	1	0.7987091	NA	1	0
9	2	10	200	1	1	1	0.648969	NA	1	0
